VTO,taxname,ottid
VTO_0071302,Micropanchax scheeli,3641911
VTO_0071303,Micropanchax loati,82329
VTO_0071308,Priapichthys chocoensis,3641813
VTO_0071309,Priapichthys caliensis,3641816
VTO_0074888,Paracheilinus walton,3636562
VTO_0074889,Paracheilinus angulatus,3636567
VTO_9026976,Mahajangasuchus,4132248
VTO_9026977,Lomasuchus,4132247
VTO_9026975,Quercomys daamsi,6144690
VTO_0074880,Terelabrus,3636797
VTO_0074881,Terelabrus rubrovittatus,3636796
VTO_0074882,Paracheilinus piscilineatus,3636569
VTO_0074883,Paracheilinus lineopunctatus,3636572
VTO_0074884,Paracheilinus octotaenia,3636563
VTO_0074885,Paracheilinus cyaneus,3636558
VTO_0074886,Paracheilinus rubricaudalis,3636561
VTO_0074887,Paracheilinus flavianalis,3636559
VTO_9000223,Nanopus,3621031
VTO_9025448,Acheronictis webbi,4117937
VTO_9025447,Phoeniconotius,4130786
VTO_9025445,Juncitarsus,4130785
VTO_9025443,Pelates quindecimalis,6140311
VTO_9025442,Serranus ventralis,6140535
VTO_9025441,Dules temnopterus,6140530
VTO_9025440,Crocodilus clavirostris,6150024
VTO_0076659,Odontanthias katayamai,3634046
VTO_0076658,Odontanthias dorsomaculatus,3634050
VTO_0076653,Odontanthias wassi,3634042
VTO_0076652,Odontanthias fuscipinnis,3634045
VTO_0076651,Odontanthias grahami,3634047
VTO_0076650,Belonoperca pylei,3634131
VTO_0076657,Odontanthias chrysostictus,5560812
VTO_0076656,Odontanthias flagris,3634048
VTO_0076655,Odontanthias rhodopeplus,3634044
VTO_0076654,Odontanthias unimaculatus,3634043
VTO_9023841,Myomimus bulgaricus,1038448
VTO_9023840,Myomimus qafzensis,3608163
VTO_9023847,Miodyromys prosper,4940939
VTO_9023846,Waincophis pressulus,6157557
VTO_0079937,Parasudis fraserbrunneri,3629293
VTO_0079936,Maulichthys,1057248
VTO_0079935,Stemonosudis distans,3629325
VTO_0079934,Stemonosudis miscella,3629327
VTO_0079933,Stemonosudis molesta,3629319
VTO_0079932,Stemonosudis intermedia,3629321
VTO_0079931,Stemonosudis similis,3629312
VTO_0079930,Stemonosudis elegans,3629326
VTO_9000226,Arsinoitherium andrewsii,3616984
VTO_0074122,Umbrina steindachneri,3634259
VTO_9008229,Archaebalaenoptera,3612260
VTO_9016971,Rhinesuchus,4948562
VTO_9016973,Discoserra,4143303
VTO_9016975,Discoserra pectinodon,6142387
VTO_9016974,Guildayichthyidae,6372642
VTO_9016977,Myotis grisecens,3613661
VTO_9016976,Orodromeus,4947368
VTO_9016979,Orodromeus makelai,4947369
VTO_0083908,Cophixalus aenigma,3618736
VTO_0083900,Cophixalus verrucosus,3618717
VTO_0083907,Cophixalus mcdonaldi,3618745
VTO_0083906,Cophixalus hosmeri,3618743
VTO_0083904,Cophixalus variabilis,3618727
VTO_0060124,Panaque bathyphilus,3622490
VTO_0082058,Aplastodiscus ibirapitanga,3619861
VTO_0082059,Aplastodiscus flumineus,3619860
VTO_0082056,Aplastodiscus sibilatus,3619863
VTO_0082057,Aplastodiscus ehrhardti,3619864
VTO_0082054,Trachycephalus dibernardoi,3619915
VTO_0082055,Trachycephalus atlas,3619916
VTO_0082052,Trachycephalus mambaiensis,3619913
VTO_0082053,Trachycephalus lepidus,3619914
VTO_0082050,Plectrohyla sagorum,3619959
VTO_0082051,Osteopilus ocellatus,6158753
VTO_0081509,Atelopus lynchi,3619604
VTO_0081508,Atelopus galactogaster,3619608
VTO_0074121,Umbrina wintersteeni,3634256
VTO_0081505,Atelopus longibrachius,3619629
VTO_0081504,Atelopus elegans,3619593
VTO_0081507,Atelopus quimbaya,3619592
VTO_0081506,Atelopus carrikeri,3619633
VTO_0081501,Atelopus mittermeieri,3619626
VTO_0081500,Atelopus mindoensis,3619600
VTO_0081503,Atelopus nicefori,3619646
VTO_0081502,Atelopus pachydermus,3619611
VTO_0076094,Lycenchelys imamurai,3632975
VTO_0072026,Liparis zonatus,4949176
VTO_0072020,Liparis newmani,4949147
VTO_0072021,Liparis micraspidophorus,4949165
VTO_0072023,Liparis eos,4949153
VTO_9015408,Limnocyon potens,4945295
VTO_0072028,Liparis frenatus,4949158
VTO_0072029,Liparis latifrons,4949183
VTO_0006595,Hyloscirtus armatus,665082
VTO_0059834,Rineloricaria eigenmanni,3622782
VTO_0059835,Rineloricaria wolfei,3622759
VTO_0059836,Rineloricaria castroi,3622763
VTO_0059837,Rineloricaria pareiacantha,3622737
VTO_0059830,Rineloricaria stellata,3622771
VTO_0059831,Rineloricaria baliola,3622770
VTO_0059832,Rineloricaria daraha,3622753
VTO_0059833,Rineloricaria jubata,3622730
VTO_9013802,Procolina teresae,6149743
VTO_9013803,Thelodus parvidens,4950060
VTO_9013800,Procolina,6149742
VTO_9013801,Coelolepidae,4144800
VTO_0059838,Rineloricaria stewarti,3622773
VTO_0059839,Rineloricaria magdalenae,3622747
VTO_9013804,Pamelina,6157925
VTO_9013805,Thelodus calvus,4950059
VTO_0081826,Hyloscirtus estevesi,3619871
VTO_0034086,Pseudechidna,369664
VTO_0081827,Hyloscirtus callipeza,3619865
VTO_9012153,Pantosaurus,4128485
VTO_9014946,Leptorycteropus,3607166
VTO_0081828,Hyloscirtus chlorosteus,3619877
VTO_0081829,Hyloscirtus piceigularis,3619870
VTO_0073779,Cichlasoma alborum,3636191
VTO_0073778,Cichlasoma ericymba,3636200
VTO_0073773,Dimidiochromis dimidiatus,3636036
VTO_0073772,Orthochromis luongoensis,3636071
VTO_0073771,Orthochromis kalungwishiensis,3636072
VTO_0073770,Aulonocara saulosi,3636176
VTO_0073777,Cichlasoma mayorum,3636194
VTO_0073776,Cichlasoma sanctifranciscense,3636204
VTO_0073775,Buccochromis spectabilis,3635767
VTO_0073774,Buccochromis rhoadesii,3635768
VTO_0079119,Uranoscopus guttatus,3639805
VTO_0079118,Uranoscopus dollfusi,3639797
VTO_0079111,Pogonophryne ventrimaculata,3635406
VTO_0079110,Pogonophryne bellingshausenensis,3635405
VTO_0079113,Pogonophryne platypogon,3635404
VTO_0079112,Pogonophryne dewitti,3635400
VTO_0079115,Artedidraco glareobarbatus,3635408
VTO_0079114,Pogonophryne permitini,3635402
VTO_0079117,Uranoscopus marmoratus,3639801
VTO_0079116,Artedidraco loennbergi,816890
VTO_0083257,Philautus jerdonii,3618502
VTO_0083256,Philautus cinerascens,3618605
VTO_0083254,Philautus dubius,3618526
VTO_0083253,Philautus sanctisilvaticus,3618592
VTO_0001279,Dasyatis margaritella,837115
VTO_0083252,Philautus maosonensis,3618552
VTO_9007503,Bernissartia,3606054
VTO_0067327,Bathycongrus parapolyporus,3643057
VTO_0000503,Pseudoginglymostoma,356286
VTO_9016193,Sinemys brevispinus,6156451
VTO_9016192,Leptacodon munusculum,3615227
VTO_9016191,Leptacodon packi,3617012
VTO_9016190,Leptacodon proserpinae,3615226
VTO_9016197,Lepoides lepoides,3611306
VTO_9016196,Leptacodon catulus,3617548
VTO_9016195,Catonyx tarijensis,6147768
VTO_9016194,Leptacodon minutulus,3615545
VTO_9006215,Ballerstedtia bueckebergensis,6156400
VTO_9016199,Tomognathus,6139949
VTO_9016198,Tomognathus mordax,6139950
VTO_0002817,Rana asiatica,448371
VTO_9006217,Venaticosuchus,4946235
VTO_9006216,Lagosuchidae,4129440
VTO_9024185,Hoplophorus,4119322
VTO_9024186,Lomaphorus,5925664
VTO_9020228,Theriodictis,3612542
VTO_0084069,Rhombophryne mangabensis,5338087
VTO_0084068,Rhombophryne guentherpetersi,3618707
VTO_9018979,Opluridae,391944
VTO_0084065,Parhoplophryne usambarica,3618943
VTO_0084064,Parhoplophryne,3618937
VTO_0084067,Phrynomantis somalicus,3618887
