vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Corydoras sodalis	VTO_0035388	245766	Corydoras sodalis	841701
Corydoras difluviatilis	VTO_0035389	245765	Corydoras difluviatilis	841713
Gephyroglanis gymnorhynchus	VTO_0059261	NA	NA	NA
Gephyroglanis habereri	VTO_0059260	NA	NA	NA
Synodontis iturii	VTO_0061808	NA	NA	NA
Synodontis punctifer	VTO_0061809	NA	NA	NA
Clarotes macrocephalus	VTO_0059265	NA	NA	NA
Clarotes bidorsalis	VTO_0059264	NA	NA	NA
Lophiobagrus cyclurus	VTO_0059267	NA	NA	NA
Lophiobagrus asperispinis	VTO_0059266	NA	NA	NA
Phyllonemus filinemus	VTO_0059269	NA	NA	NA
Lophiobagrus aquilus	VTO_0059268	NA	NA	NA
Synodontis sp. (Royero 1999)	VTO_0061800	NA	NA	NA
Synodontis caudovittata	VTO_0061801	NA	NA	NA
Synodontis tourei	VTO_0061806	NA	NA	NA
Synodontis macrostoma	VTO_0061807	NA	NA	NA
Synodontis fascipinna	VTO_0061804	NA	NA	NA
Cathorops laticeps	VTO_0059732	NA	NA	NA
Corydoras ambiacus	VTO_0035256	NA	NA	NA
Corydoras arcuatus	VTO_0035257	NA	NA	NA
Chiloglanis somereni	VTO_0061898	NA	NA	NA
Corydoras ourastigma	VTO_0035255	NA	NA	NA
Corydoras breei	VTO_0035252	NA	NA	NA
Corydoras brevirostris	VTO_0035253	NA	NA	NA
Diplomystes nahuelbutaensis	VTO_0036717	390452	Diplomystes nahuelbutaensis	634728
Corydoras bondi	VTO_0035251	NA	NA	NA
Glyptothorax annandalei	VTO_0036560	386078	Glyptothorax annandalei	407863
Platyglanis depierrei	VTO_0059263	NA	NA	NA
Corydoras armatus	VTO_0035258	927828	Corydoras armatus	360634
Corydoras atropersonatus	VTO_0035259	NA	NA	NA
Homodiaetus graciosa	VTO_0061662	NA	NA	NA
Arius danicus	VTO_9029640	NA	NA	NA
Glanapteryx anguilla	VTO_0061660	NA	NA	NA
Homodiaetus passarellii	VTO_0061661	NA	NA	NA
Ituglanis gracilior	VTO_0061666	NA	NA	NA
Ituglanis ramiroi	VTO_0061667	NA	NA	NA
Trachelyopterus coriaceus	VTO_0035038	NA	NA	NA
Trachelyopterus galeatus	VTO_0035039	337678	Trachelyopterus galeatus	671060
Pseudopimelodus sp. (Friel 1994)	VTO_0059283	NA	NA	NA
Cephalosilurus fowleri	VTO_0059282	NA	NA	NA
Ituglanis parkoi	VTO_0061668	NA	NA	NA
Liosomadoras morrowi	VTO_0035035	238676	Liosomadoras morrowi	740542
