VTO_name	VTO_id
Hibbardomys zakrzewskii	VTO_9028793
Cimolodon similis	VTO_9011804
Cimolodon electus	VTO_9011807
Nanolestes krusati	VTO_9001168
Microbiotherium	VTO_9001169
Fajumia schweinfurthi	VTO_9001162
Nanolestes	VTO_9001163
Baurusuchus salgadoensis	VTO_9001160
Afriquiamus	VTO_9001161
Delphodon	VTO_9001166
Pristis fajumensis	VTO_9001167
Socnopaea grandis	VTO_9001164
Afriquiamus nessovi	VTO_9001165
Didelphodontinae	VTO_9021218
Giraffatitan brancai	VTO_9021219
Memina	VTO_9021216
Giraffatitan	VTO_9021217
Rebbanasaurus	VTO_9021214
Rebbanasaurus jaini	VTO_9021215
Sinornithidae	VTO_9021212
Sinornithiformes	VTO_9021213
Dicynodon woodwardi	VTO_9021210
Dicynodon ictinops	VTO_9021211
Chrionema chlorotaenia	VTO_0074268
Chrionema squamiceps	VTO_0074269
Brachyhyrax aequatorialis	VTO_9033518
Afrohyrax	VTO_9033519
Bembrops curvatura	VTO_0074264
Dollopterus	VTO_9033517
Bembrops cadenati	VTO_0074266
Gabanellia	VTO_9033515
Helmolepis	VTO_9033512
Gigantopterus	VTO_9033513
Bembrops quadrisella	VTO_0074262
Hydropessum	VTO_9033511
Apogon uninotatus	VTO_0075133
Apogon hartzfeldii	VTO_0075132
Archamia zosterophora	VTO_0075131
Archamia mozambiquensis	VTO_0075130
Solnhofenamia elongata	VTO_9032649
Apogon atricaudus	VTO_0075136
Apogon victoriae	VTO_0075135
Apogon oxina	VTO_0075134
Gricetoides	VTO_9032644
Apogon striatodes	VTO_0075139
Apogon unicolor	VTO_0075138
Gricetoides aurorae	VTO_9032641
Carcharhinus perezi	VTO_9032642
Mesopotamichthys	VTO_0039833
Doryrhamphus malus	VTO_0070657
Micropanchax keilhacki	VTO_0071304
Micropanchax pumilus	VTO_0071305
Micropanchax camerunensis	VTO_0071306
Micropanchax rudolfianus	VTO_0071307
Micropanchax kingii	VTO_0071300
Micropanchax bracheti	VTO_0071301
Micropanchax scheeli	VTO_0071302
Micropanchax loati	VTO_0071303
Priapichthys chocoensis	VTO_0071308
Priapichthys caliensis	VTO_0071309
Danio meghalayensis	VTO_0039831
Paracheilinus walton	VTO_0074888
Paracheilinus angulatus	VTO_0074889
Baurusuchoidea	VTO_9026970
Mahajangasuchini	VTO_9026971
Mahajangasuchus	VTO_9026976
Lomasuchus	VTO_9026977
Lipotinae	VTO_9026974
Quercomys daamsi	VTO_9026975
Terelabrus	VTO_0074880
Terelabrus rubrovittatus	VTO_0074881
Paracheilinus piscilineatus	VTO_0074882
Paracheilinus lineopunctatus	VTO_0074883
Paracheilinus octotaenia	VTO_0074884
Paracheilinus cyaneus	VTO_0074885
Paracheilinus rubricaudalis	VTO_0074886
Paracheilinus flavianalis	VTO_0074887
Nanopus	VTO_9000223
Acheronodon garbani	VTO_9025449
