ottid	number_of_vto_mappings_from_data_file
ott3623196	1
ott3623195	1
ott3623194	0
ott3623193	1
ott3623191	1
ott3623190	1
ott705755	0
ott3623199	0
ott205377	1
ott3623750	1
ott3623753	1
ott3623752	1
ott3623755	1
ott3623754	1
ott3623757	1
ott3623756	1
ott63055	0
ott3623758	1
ott63052	1
ott6141694	0
ott6141695	0
ott3621931	1
ott6141697	0
ott6141690	0
ott6141691	0
ott6141692	0
ott6141693	0
ott718336	1
ott3621938	1
ott6141698	0
ott6141699	0
ott372549	0
ott718333	1
ott244030	0
ott392179	0
ott888333	1
ott584232	1
ott3622371	1
ott3622372	2
ott3622373	1
ott3622374	1
ott3622375	1
ott3622376	1
ott3622377	1
ott598981	0
ott100516	0
ott1007298	1
ott598982	0
ott3623287	1
ott3623286	1
ott3623285	1
ott941030	1
ott3622572	1
ott3622573	0
ott3622570	1
ott3622571	1
ott3622576	1
ott3622577	1
ott3622574	1
ott3622575	1
ott730416	1
ott3622578	1
ott3622579	1
ott423815	1
ott6141768	0
ott6141769	0
ott5555218	0
ott5839201	0
ott6141760	0
ott6141761	0
ott6141762	0
ott6141763	0
ott6141764	0
ott6141765	0
ott6141766	0
ott6141767	0
ott6141830	0
ott6141746	0
ott851186	0
ott6141834	0
ott6141835	0
ott6141836	0
ott6141747	0
ott6141838	0
ott297548	1
ott171129	0
ott6141744	0
ott5839205	0
ott943493	1
ott5839206	0
ott3623431	1
ott546051	0
ott704244	0
ott3623281	0
ott5839207	0
ott977158	1
ott108989	1
ott3623379	2
ott3623378	0
ott108984	1
ott950113	1
ott108986	1
ott817360	1
ott1090784	1
ott3623372	1
ott1090786	1
ott3623370	1
ott3622486	1
ott3622487	1
ott3622484	1
ott3622485	1
ott3622482	1
ott3622483	1
ott3622480	1
ott5845989	0
ott3623171	1
ott3623170	0
ott411929	0
ott209729	1
ott3623175	1
ott3623174	1
ott3622488	0
ott3622489	1
ott664997	1
ott3624025	0
ott871803	0
ott6141904	0
ott209727	1
ott3623572	1
ott6141900	0
ott6141901	0
ott6141902	0
ott6141903	0
ott565698	1
ott6141909	0
ott3622094	1
ott3622158	1
ott3622159	1
ott3623368	1
ott502078	1
ott3622150	1
ott3622151	1
ott3622152	1
ott3622153	1
ott502072	1
ott3622155	1
ott3622156	1
ott3622157	1
ott3622398	1
ott3622399	1
ott386171	0
ott3624027	1
ott3622390	1
ott3622396	1
ott3622528	1
ott791207	1
ott791202	0
ott5925158	0
ott5925159	0
ott5925156	0
ott3622154	1
ott5925154	0
ott5925155	0
ott5925152	0
ott5925153	0
ott5925150	0
ott5925151	0
ott3623243	1
ott3622450	1
ott3624231	1
ott232252	1
ott476416	1
ott1096268	0
ott3623308	1
ott510950	0
ott3623309	1
ott313486	0
ott618295	1
ott3622024	1
ott3623523	0
ott3622026	1
ott3623741	1
ott3622020	1
ott3622021	1
ott3622022	1
ott1017226	0
ott863892	1
ott1057299	1
ott216174	1
ott1057296	1
ott254152	1
ott3623504	1
ott3622451	1
ott3623403	1
ott4949446	0
ott264978	1
ott3623999	1
ott3623998	1
ott3623997	1
ott3623996	1
ott3623995	1
ott3623994	1
ott3623993	1
ott3623992	1
ott3623991	1
ott3623990	1
ott5839312	0
ott5839313	0
ott96790	1
ott5839311	0
ott3621990	1
ott863894	1
ott3623808	1
ott428018	1
ott3623579	1
ott925559	1
ott1037687	1
ott3623228	1
ott925556	1
ott3623407	1
ott3623304	1
ott3623173	1
ott3622395	1
ott571692	1
ott1007933	1
ott1007931	1
ott1007937	0
ott3623559	0
ott3622978	1
ott3622979	0
ott3622976	0
ott3622977	1
ott3622974	1
ott3622975	0
